name,time,Kd,Ki,Kp,value
co2_start_at_03,1695745723611157923,0,0,0.05,995.6666666666666
co2_start_at_03,1695745744160231490,0,0,0.05,996
co2_start_at_03,1695745764696679197,0,0,0.05,980.8333333333334
co2_start_at_03,1695745785300388582,0,0,0.05,980.8333333333334
co2_start_at_03,1695745805835053158,0,0,0.05,1021.1666666666666
co2_start_at_03,1695745826360192137,0,0,0.05,1028.1666666666667
co2_start_at_03,1695745846937922977,0,0,0.05,945.6666666666666
co2_start_at_03,1695745867480394562,0,0,0.05,953.6666666666666
co2_start_at_03,1695745888024923509,0,0,0.05,946.8333333333334
co2_start_at_03,1695745908607467200,0,0,0.05,942
co2_start_at_03,1695745929153889878,0,0,0.05,937.3333333333334
co2_start_at_03,1695745949690831232,0,0,0.05,936.1666666666666
co2_start_at_03,1695745970218616374,0,0,0.05,937.1666666666666
co2_start_at_03,1695745990737525049,0,0,0.05,948.6666666666666
co2_start_at_03,1695746011286652380,0,0,0.05,973.5
co2_start_at_03,1695746031808484918,0,0,0.05,979.5
co2_start_at_03,1695746052369965257,0,0,0.05,983.6666666666666
co2_start_at_03,1695746072904715215,0,0,0.060000000000000005,991.6666666666666
co2_start_at_03,1695746093462408214,0,0,0.060000000000000005,993.1666666666666
co2_start_at_03,1695746114009578498,0,0,0.060000000000000005,1040.3333333333333
co2_start_at_03,1695746134545179669,0,0,0.060000000000000005,1039.3333333333333
co2_start_at_03,1695746155081124929,0,0,0.060000000000000005,1006.5
co2_start_at_03,1695746175606308800,0,0,0.060000000000000005,989.1666666666666
co2_start_at_03,1695746196125442447,0,0,0.060000000000000005,979.8333333333334
co2_start_at_03,1695746216697215779,0,0,0.060000000000000005,970.8333333333334
co2_start_at_03,1695746237048118180,0,0,0.060000000000000005,953.6666666666666
co2_start_at_03,1695746257585151581,0,0,0.060000000000000005,925.8333333333334
co2_start_at_03,1695746278121742277,0,0,0.060000000000000005,951.8333333333334
co2_start_at_03,1695746298654349245,0,0,0.060000000000000005,938.3333333333334
co2_start_at_03,1695746319196330854,0,0,0.060000000000000005,941
co2_start_at_03,1695746339710587817,0,0,0.060000000000000005,941
co2_start_at_03,1695746360200453305,0,0,0.060000000000000005,937.5
co2_start_at_03,1695746380748927462,0,0,0.060000000000000005,1003
co2_start_at_03,1695746401224206743,0,0,0.060000000000000005,1008.1666666666666
co2_start_at_03,1695746421516943286,0,0,0.060000000000000005,1054
co2_start_at_03,1695746442046557107,0,0,0.060000000000000005,1048
co2_start_at_03,1695746462570680983,0,0,0.060000000000000005,1050.5
co2_start_at_03,1695746483066235532,0,0,0.060000000000000005,1066.6666666666667
co2_start_at_03,1695746503609032851,0,0,0.060000000000000005,1066
co2_start_at_03,1695746524166140741,0,0,0.060000000000000005,1066
co2_start_at_03,1695746544690834595,0,0,0.060000000000000005,1076.1666666666667
co2_start_at_03,1695746565230100170,0,0,0.060000000000000005,1061.5
co2_start_at_03,1695746585720124709,0,0,0.060000000000000005,1043.6666666666667
co2_start_at_03,1695746606251363014,0,0,0.060000000000000005,950.5
co2_start_at_03,1695746626809383936,0,0,0.060000000000000005,944.8333333333334
co2_start_at_03,1695746647340668494,0,0,0.060000000000000005,937
co2_start_at_03,1695746667889223781,0,0,0.060000000000000005,935.5
co2_start_at_03,1695746688365857433,0,0,0.060000000000000005,934.8333333333334
co2_start_at_03,1695746708905776834,0,0,0.060000000000000005,944.5
co2_start_at_03,1695746729476258671,0,0,0.060000000000000005,936.8333333333334
co2_start_at_03,1695746750004818919,0,0,0.060000000000000005,995.1666666666666
co2_start_at_03,1695746770545801782,0,0,0.060000000000000005,1022
co2_start_at_03,1695746791124206327,0,0,0.060000000000000005,1021.3333333333334
co2_start_at_03,1695746811647946148,0,0,0.060000000000000005,1072.1666666666667
co2_start_at_03,1695746832165464189,0,0,0.060000000000000005,1065.6666666666667
co2_start_at_03,1695746852615783118,0,0,0.060000000000000005,1066
co2_start_at_03,1695746873170227432,0,0,0.060000000000000005,1065
co2_start_at_03,1695746893694848225,0,0,0.060000000000000005,1061.3333333333333
co2_start_at_03,1695746914214893082,0,0,0.060000000000000005,1050.6666666666667
co2_start_at_03,1695746934749874766,0,0,0.060000000000000005,1035.6666666666667
co2_start_at_03,1695746955281250094,0,0,0.060000000000000005,1022.6666666666666
co2_start_at_03,1695746975865450821,0,0,0.07,1009.3333333333334
co2_start_at_03,1695746996399048432,0,0,0.07,995.3333333333334
co2_start_at_03,1695747016986643060,0,0,0.07,987.5
co2_start_at_03,1695747037565490827,0,0,0.07,979.8333333333334
co2_start_at_03,1695747058114814969,0,0,0.07,973
co2_start_at_03,1695747078604308050,0,0,0.07,969.6666666666666
co2_start_at_03,1695747099197475098,0,0,0.07,964.3333333333334
co2_start_at_03,1695747119736300735,0,0,0.07,962.6666666666666
co2_start_at_03,1695747140265125135,0,0,0.07,965.1666666666666
